character,show,season,episode
Brenda Blethyn,Vera,1,1
David Leon,Vera,1,1
Wunmi Mosaku,Vera,1,1
Paul Ritter,Vera,1,1
Neil Armstrong,Vera,1,1
Juliet Aubrey,Vera,1,1
Craig Conway,Vera,1,1
Philip Correia,Vera,1,1
Sam Fender,Vera,1,1
Murray Head,Vera,1,1
Paul Higgins,Vera,1,1
Jim Kitson,Vera,1,1
Peter Michael McGowan,Vera,1,1
Gina McKee,Vera,1,1
Samantha Neale,Vera,1,1
Brenda Blethyn,Vera,1,2
David Leon,Vera,1,2
Wunmi Mosaku,Vera,1,2
Paul Ritter,Vera,1,2
Amber Britton-Dyer,Vera,1,2
Lolita Chakrabarti,Vera,1,2
Elizabeth Edmonds,Vera,1,2
Emun Elliott,Vera,1,2
Katie Foster-Barnes,Vera,1,2
Gary Lewis,Vera,1,2
Jon Morrison,Vera,1,2
Georg Nikoloff,Vera,1,2
Sarah Preston,Vera,1,2
Tiger Roberts,Vera,1,2
Daniel Rose,Vera,1,2
Brenda Blethyn,Vera,1,3
David Leon,Vera,1,3
Wunmi Mosaku,Vera,1,3
Paul Ritter,Vera,1,3
Elizabeth Carling,Vera,1,3
Amy Cudden,Vera,1,3
Daniel Flynn,Vera,1,3
Jane Holman,Vera,1,3
John Lynch,Vera,1,3
Jack McBride,Vera,1,3
Jon Morrison,Vera,1,3
Daniela Nardini,Vera,1,3
Skyla Pearce,Vera,1,3
Richard Short,Vera,1,3
Susie Trayling,Vera,1,3
Brenda Blethyn,Vera,1,4
David Leon,Vera,1,4
Wunmi Mosaku,Vera,1,4
Paul Ritter,Vera,1,4
Tim Dutton,Vera,1,4
Judi Earl,Vera,1,4
Kerry Fox,Vera,1,4
Philip Harrison,Vera,1,4
Sam Jarvis,Vera,1,4
Riley Jones,Vera,1,4
Emma Lowndes,Vera,1,4
Jon Morrison,Vera,1,4
Laura Norton,Vera,1,4
Kieran O'Brien,Vera,1,4
Joe Renton,Vera,1,4
Brenda Blethyn,Vera,2,1
David Leon,Vera,2,1
Wunmi Mosaku,Vera,2,1
Paul Ritter,Vera,2,1
Jon Morrison,Vera,2,1
Jessica Barden,Vera,2,1
Sonya Cassidy,Vera,2,1
Ron Cook,Vera,2,1
Julie Graham,Vera,2,1
Steven Hartley,Vera,2,1
Rose Leslie,Vera,2,1
Joe MacCabe,Vera,2,1
Sarah Lewis Obuba,Vera,2,1
Jon Regan,Vera,2,1
Charlie Richmond,Vera,2,1
Brenda Blethyn,Vera,2,2
David Leon,Vera,2,2
Paul Ritter,Vera,2,2
Jon Morrison,Vera,2,2
Cush Jumbo,Vera,2,2
Hannah Britland,Vera,2,2
Daymon Britton,Vera,2,2
Antony Byrne,Vera,2,2
Stephanie Carey,Vera,2,2
Penny Downie,Vera,2,2
Pat Dunn,Vera,2,2
Sandra James-Young,Vera,2,2
Abigail Johnston,Vera,2,2
Daniel Lapaine,Vera,2,2
Adelle Leonce,Vera,2,2
Brenda Blethyn,Vera,2,3
David Leon,Vera,2,3
Paul Ritter,Vera,2,3
Jon Morrison,Vera,2,3
Cush Jumbo,Vera,2,3
James Burrows,Vera,2,3
Sean Campion,Vera,2,3
Gary Cargill,Vera,2,3
Sonya Cassidy,Vera,2,3
Riley Jones,Vera,2,3
Phyllis Logan,Vera,2,3
John McArdle,Vera,2,3
Billy McColl,Vera,2,3
Judy Parfitt,Vera,2,3
Charles Ramsay,Vera,2,3
Brenda Blethyn,Vera,2,4
David Leon,Vera,2,4
Paul Ritter,Vera,2,4
Jon Morrison,Vera,2,4
Ben Aldridge,Vera,2,4
Naomi Bentley,Vera,2,4
Anna Bolton,Vera,2,4
Clare Calbraith,Vera,2,4
Sonya Cassidy,Vera,2,4
Simon Chandler,Vera,2,4
Steven Cree,Vera,2,4
John Duttine,Vera,2,4
Barbara Marten,Vera,2,4
Barry McGee,Vera,2,4
Alex Price,Vera,2,4
Brenda Blethyn,Vera,3,1
David Leon,Vera,3,1
Paul Ritter,Vera,3,1
Jon Morrison,Vera,3,1
Sonya Cassidy,Vera,3,1
Alexander Arnold,Vera,3,1
Will Ashcroft,Vera,3,1
Cassie Atkinson,Vera,3,1
Leah Brotherhead,Vera,3,1
Ian Cairns,Vera,3,1
Alex Childs,Vera,3,1
Shaun Dingwall,Vera,3,1
Nicholas Gleaves,Vera,3,1
John Light,Vera,3,1
Riley Jones,Vera,3,1
Brenda Blethyn,Vera,3,2
David Leon,Vera,3,2
Paul Ritter,Vera,3,2
Jon Morrison,Vera,3,2
Dean Andrews,Vera,3,2
Reece Andrews,Vera,3,2
Shifaa Arfan,Vera,3,2
Lucy Black,Vera,3,2
Amir Boutrous,Vera,3,2
Amy Cameron,Vera,3,2
Sonya Cassidy,Vera,3,2
Rachael Chisholm,Vera,3,2
Gareth Farr,Vera,3,2
Cheryl Marie Dixon,Vera,3,2
Bev Fox,Vera,3,2
Brenda Blethyn,Vera,3,3
David Leon,Vera,3,3
Paul Ritter,Vera,3,3
Jon Morrison,Vera,3,3
Clare Calbraith,Vera,3,3
Maureen Beattie,Vera,3,3
Rebecca Benson,Vera,3,3
Kenneth Colley,Vera,3,3
Rita Davies,Vera,3,3
Matilda Ziegler,Vera,3,3
Jodie Comer,Vera,3,3
Riley Jones,Vera,3,3
Mark Quartley,Vera,3,3
Kevin Trainor,Vera,3,3
Pippa Bennett-Warner,Vera,3,3
Brenda Blethyn,Vera,3,4
David Leon,Vera,3,4
Paul Ritter,Vera,3,4
Jon Morrison,Vera,3,4
Christine Bottomley,Vera,3,4
Clare Calbraith,Vera,3,4
Paul Clayton,Vera,3,4
Michael Cronin,Vera,3,4
Liam Cunningham,Vera,3,4
Jill Halfpenny,Vera,3,4
Ralph Ineson,Vera,3,4
Riley Jones,Vera,3,4
James Anthony Pearson,Vera,3,4
Billy Kirkwood,Vera,3,4
Jeany Spark,Vera,3,4
Brenda Blethyn,Vera,4,1
David Leon,Vera,4,1
Jon Morrison,Vera,4,1
Clare Calbraith,Vera,4,1
Sonya Cassidy,Vera,4,1
